Transaction Number,Date,Description,Memo,Category,Transaction Amount,Balance,Type
1001,01/01/2017,BALANCE TRANSER,From old checking account,Transfer,200000.00,250000.00,Occasional
31650,01/01/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,249597.50,Occasional
31617,01/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,144535.15,Recurring
31618,02/01/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,134478.28,Recurring
31621,03/01/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,131631.41,Recurring
31623,04/01/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,113268.54,Recurring
31620,04/01/2017,DEBIT PURCHASE,Zero Grav Poop Scoop,Pets,-2389.78,110878.76,Occasional
31625,05/01/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,107725.11,Recurring
31624,05/01/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-31256.84,76468.27,Recurring
101523,05/01/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,2385.35,78853.62,Recurring
31626,06/01/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-6523.56,72330.06,Recurring
31628,07/01/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,70978.04,Recurring
31627,07/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,60652.41,Recurring
101561,07/01/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,130652.41,Recurring
31629,09/01/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,120151.89,Recurring
31642,11/01/2017,DEBIT PURCHASE,M. Wells Dinette,Food & Dining,-406.32,119745.57,Occasional
31630,12/01/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,111682.69,Recurring
31632,13/01/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,111679.44,Occasional
31634,14/01/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,105179.44,Recurring
31635,15/01/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,75153.09,Recurring
101551,15/01/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,756572.01,831725.10,Recurring
31636,16/01/2017,DEBIT PURCHASE,World Gurning Championships,Entertainment,-3265.11,828459.99,Occasional
101589,16/01/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,878459.99,Recurring
31631,17/01/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,878056.99,Occasional
31622,19/01/2017,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,-8398.65,869658.34,Occasional
31637,20/01/2017,DEBIT PURCHASE,Napa Valley Wine Train,Food & Dining,-1368.27,868290.07,Occasional
31639,21/01/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,867391.75,Recurring
31638,21/01/2017,DEBIT PURCHASE,Secret decoder rings,Clothing & Personal,-658.74,866733.01,Occasional
31640,22/01/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,854367.06,Recurring
31641,23/01/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,849005.74,Recurring
31644,24/01/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,840346.26,Recurring
